latitude,longitude,stations_Route_trip,stationCode
-29.063612,114.997161,4,AN001
-34.270827,118.268523,2,AM001
-32.12548,118.00406,0,SH002
-30.338049,115.539491,4,BA
-33.7962,116.06398,2,BP001
-30.47333,117.88111,0,BE001
-31.7285278,118.2979722,0,ME004
-30.818056,117.864758,0,BC001
-30.59319,116.3527,0,BB001
-28.512249,115.216534,4,ER002
-31.398,116.101,0,BX001
-28.051,114.69575,4,BI
-28.014442,114.406062,4,BI002
-30.599684,118.531384,0,BR
-33.486286,115.72515,2,DB002
-33.7599,123.124725,3,BO001
-34.382888,119.32666,3,BY001
-32.3868,117.01348,0,BN001
-17.86165,122.4161,1,BR010
-33.270855,115.79648,2,BJ
-29.93843,116.34875,4,BT001
-30.52964,117.18067,0,BK001
-31.587553,118.698667,0,SB001
-28.849235,115.996978,4,CE001
-33.60946667,115.6406667,2,CL001
-29.69999,116.14498,4,CE002
-24.851402,113.731443,4,CA
-33.495591,121.137904,3,CA001
-33.13,121.18686,3,CS003
-33.3588,120.71417,3,CS002
-28.457779,114.776781,4,CH
-33.752886,122.301357,3,CN001
-33.74698,121.281884,3,CP001
-29.93692095,115.9720375,4,CW001
-33.538306,116.606491,2,CD001
-32.34565,117.8078,0,CO001
-32.32285,118.0856,0,CO002
-34.142386,118.591089,2,CP002
-34.302798,117.576323,2,CR001
-33.935,115.0842,2,BCAA
-30.2759,115.0926,4,BCAB
-25.055,115.2096,4,BTSA
-31.9606,116.6898,0,BTSB
-27.6866,114.2619,4,BTSC
-31.2144,120.2593,3,BTSD
-16.4202,126.4414,1,BTSE
-33.3424,116.1367,2,BTSF
-32.508,115.8137,0,BTSG
-19.2297,121.6167,1,BTSI
-30.826939,115.763161,0,DG001
-33.33677,115.783505,2,DA
-33.38717,115.86655,2,DA002
-33.26455,116.8262,2,DK001
-34.95226,117.370933,2,DM001
-33.800513,116.552662,2,DP001
-33.541143,115.820985,2,DB
-32.8497,119.038966,3,DR001
-29.27243,115.725056,4,TS002
-33.322317,117.749167,2,DU001
-33.33905,117.784184,2,DU002
-32.142505,117.173785,0,EB
-30.9932,117.1358,0,EJ001
-29.77764,115.31929,4,EN001
-28.695861,114.980032,4,ER
-28.84754,115.27215,4,ES001
-33.609175,121.795591,3,ES
-31.951181,115.792334,0,FL
-34.30745,115.549422,2,GI001
-34.36490058,116.9806311,2,FR
-34.237208,117.044738,2,FR002
-34.305433,119.09855,3,GA001
-31.331817,115.603514,0,GW
-32.252814,116.141504,0,GE001
-33.97145,118.01766,2,GN002
-30.034942,117.240167,0,KL002
-33.2649722,121.5751111,3,GP001
-29.058694,115.821458,4,GU001
-33.062245,115.854561,2,HV
-33.076893,117.451564,2,NA002
-32.572418,119.501014,3,HR
-32.44397,118.8528,0,HY001
-32.33423,116.07547,0,JA001
-32.35142,116.0495,0,JA002
-33.77361,120.45667,3,JP001
-33.7698,118.9124,3,JE
-33.944644,118.913419,3,JE002
-34.09556,117.028213,2,TU002
-30.29605,115.2213,4,JB001
-30.343053,117.117319,0,KL
-22.493556,118.47145,4,KARI
-34.227964,115.143141,2,KR001
-33.683085,117.611931,2,KA
-33.8125,117.5785,2,KA002
-33.683424,117.582187,2,KA003
-33.683383,117.582009,2,KA004
-31.6179,117.7203,0,KE001
-31.32719,117.77972,0,KE002
-34.45003,117.498986,2,MB002
-31.95887,115.83821,0,BG001
-34.575486,118.260501,2,KO002
-32.46288,118.2694,0,KD001
-30.828382,117.501453,0,KO001
-32.790382,118.301848,0,KI001
-32.728013,121.552688,3,SG002
-15.65758333,128.7152778,1,KN
-32.3153,117.41553,0,KW001
-33.024003,119.812713,3,LK
-30.8862,115.40775,0,LE
-29.7974,116.5539,4,LA001
-32.99347,115.93958,2,LG
-33.504677,121.388708,3,DN001
-33.27912,119.16365,3,MG001
-34.299334,116.127309,2,MA002
-34.779833,118.217167,2,MP
-33.971865,115.105013,2,MR002
-32.85485,116.44993,2,BW001
-34.030905,116.512452,2,MS001
-33.599765,116.26332,2,MC001
-27.698975,114.222944,4,MEAN
-31.397106,117.157604,0,MN
-31.493128,118.226202,0,ME
-31.485436,118.220944,0,ME002
-31.484965,118.221424,0,ME003
-21.595033,117.072721,4,MILL
-34.250121,115.447536,2,MX001
-29.28453,115.391097,4,MI
-29.157472,115.383428,4,MI002
-14.788286,125.829899,1,MIPL
-30.659595,116.00015,0,MZ
-30.612997,115.897434,0,MZ002
-31.4139944,119.0341806,0,ME005
-29.220353,115.997377,4,MO
-34.634208,117.539373,2,MB
-34.677523,117.67278,2,MB003
-33.30968,123.07455,3,BU
-33.410914,122.159201,3,BD
-34.621083,116.4793,2,BURN
-32.126141,116.299525,0,DALE
-33.6615,122.709,3,HO
-33.183297,120.08432,3,MD001
-33.45305,122.45472,3,BD002
-32.47,116.214333,0,SOLS
-32.055417,118.81817,0,NB002
-30.9187,118.2506,0,MU001
-28.588141,115.446142,4,MU
-33.78222,120.813056,3,MP002
-31.735761,118.85894,0,SB002
-31.72772,116.69127,0,MK
-33.091703,115.717528,2,MY
-33.937097,115.794999,2,NU001
-34.0933,115.78282,2,NU002
-32.10805,118.40635,0,NB001
-34.759399,117.893904,2,NA003
-32.92622,117.07455,2,NA001
-31.105392,116.189869,0,NN001
-33.112956,118.839964,3,NE
-33.65428333,115.8671167,2,KP001
-31.651611,116.694194,0,NO
-28.300442,114.508197,4,NW001
-34.653996,116.144368,2,NL001
-33.43895,118.2807,2,NY001
-33.60975,118.1175,2,NY002
-33.89915,118.46782,2,ON002
-33.816167,118.484433,2,ON001
-19.98714,119.95279,1,PD
-34.405166,115.932851,2,PM
-29.42313,116.28129,4,PJ001
-28.537305,115.781629,4,MU002
-32.7340833,118.627139,0,PN001
-32.5064167,116.9779167,0,PY001
-33.476847,118.719161,3,PG001
-31.658787,115.776057,0,PINJ
-32.695554,115.916265,2,PI001
-32.65273683,117.088849,0,PO001
-32.0062,117.4165,0,QD001
-33.8821,116.84215,2,QA001
-34.905084,117.377723,2,DM002
-34.445522,116.233982,2,QP001
-33.435863,119.730175,3,RA
-33.636636,120.054372,3,RA002
-31.00103,115.680233,0,RF001
-33.168906,121.918862,3,LR001
-31.69527,116.3184,0,ROGR
-33.936255,115.219066,2,RB001
-32.997093,121.622136,3,SG
-33.426189,121.619638,3,SC
-34.25065,115.28935,2,SR001
-31.9456,117.8383,0,SH001
-31.991043,115.886068,0,SP
-34.22785,117.915,2,SN001
-34.553593,117.928297,2,PL001
-31.587308,117.47004,0,TA001
-32.012226,116.034012,0,TST01
-31.991043,115.8835,0,TST02
-31.991043,115.88475,0,TST03
-32.0131,116.034012,0,TST04
-32.014,116.034012,0,TST05
-29.52322,115.85893,4,TS001
-32.893437,117.77261,0,WI
-34.22258,116.70422,2,TB001
-31.1151,117.7207,0,TW001
-34.120578,117.339845,2,TU003
-33.752861,115.359807,2,VA
-33.317465,117.356935,2,WA001
-31.583153,115.694155,0,WN
-32.856145,115.894339,2,WR
-30.039117,115.49881,4,ML001
-30.30683,116.070767,0,WO001
-32.16302,115.831704,0,WT001
-34.489212,118.619261,2,WE
-33.736858,119.648352,3,WR001
-31.2283,118.5931,0,WS001
-32.743018,117.863876,0,EW
-32.7202417,117.4948333,0,WI002
-33.0368,116.8228,2,WL001
-33.7919,115.06367,2,MR001
-30.844029,116.728123,0,WH
-28.826389,115.513444,4,TW002
-33.5634,117.1732083,2,WD001
-34.225653,116.017767,2,MA003
-31.915622,119.256055,3,YS
-31.835878,116.921077,0,YE001
-28.33763,114.9898,4,YU001
-28.200324,115.261614,4,YU002
